filing_year,lat,lon,geo_accuracy
2021,36.079,-95.8109,1
2021,36.092725,-95.891456,1
2021,36.1465,-95.9907,1
2021,36.1563,-96.0034,0.9
2021,36.0799,-96.012200000000007,1
2021,36.124,-95.9356,1
2021,36.0922,-95.8924,1
2021,36.092,-95.8925,1
2021,36.0922,-95.8924,1
2021,36.0921,-95.8925,0.86
2021,36.0919,-95.8925,1
2021,36.092725,-95.891456,1
2021,36.092,-95.8925,1
2021,36.0923,-95.8924,1
2021,36.0921,-95.8924,1
2021,36.0921,-95.8925,1
2021,36.0652,-95.9759,1
2021,36.0657,-95.9759,1
2021,36.0658,-95.9759,1
2021,36.0657,-95.9759,1
2021,36.092725,-95.891456,1
2021,36.0655,-95.9759,1
2021,36.0655,-95.9759,1
2021,36.1534,-95.8846,0.9
2021,36.0464,-95.886,1
2021,36.0714,-96.0294,1
2021,36.0709,-96.0297,0.9
2021,36.0714,-96.0294,1
2021,36.1687,-95.9364,1
2021,36.037944,-95.93608,0.86
2021,36.24691,-95.959888,1
2021,36.0508,-95.9211,1
2021,36.0508,-95.9211,1
2021,35.9221,-95.8834,1
2021,36.1489,-96.115,1
2021,36.24691,-95.959888,1
2021,36.0755,-95.9716,1
2021,36.0581,-95.9217,0.88
2021,36.0927,-95.8941,1
2021,36.1161,-95.8297,0.9
2021,36.2403,-95.9779,1
2021,36.24691,-95.959888,1
2021,36.068600000000004,-95.8877,1
2021,36.1464,-95.8875,1
2021,36.1227,-95.9351,1
2021,36.116958,-95.836412,1
2021,36.24691,-95.959888,1
2021,36.0649,-95.9759,1
2021,36.0438,-95.8557,1
2021,36.0452,-95.8558,1
2021,36.085,-95.8107,1
2021,36.0801,-95.9594,1
2021,36.1034,-95.8318,1
2021,36.0801,-95.9594,1
2021,36.0925,-95.9663,1
2021,36.0604,-95.8737,1
2021,36.0608,-95.8737,1
2021,36.06,-95.8737,1
2021,36.1586,-96.0276,1
2021,36.2158,-95.9487,1
2021,36.0556,-95.8671,1
2021,36.0558,-95.8685,1
2021,36.0578,-95.8684,1
2021,36.116073,-95.868638,1
2021,36.0779,-95.8827,1
2021,36.059367,-95.874734,1
2021,36.154424,-95.92403,1
2021,36.131,-95.8508,1
2021,36.1308,-95.8484,1
2021,36.1301,-95.8509,1
2021,36.1301,-95.8508,1
2021,36.164712,-95.935650999999993,1
2021,36.1823,-95.988,1
2021,36.1676,-95.9675,1
2021,36.0577,-95.7761,1
2021,36.1822,-95.9904,1
2021,36.0001,-96.007,1
2021,36.161357,-95.953874,1
2021,36.105,-95.9824,1
2021,36.1016,-95.8549,1
2021,36.0583,-95.996,1
2021,36.1335,-95.9755,1
2021,36.1151,-95.8217,1
2021,36.0836,-95.957,1
2021,36.31715,-95.846107,1
2021,36.0484,-95.9219,1
2021,36.0676,-95.8807,1
2021,36.0561,-95.9661,1
2021,36.0562,-95.966,1
2021,36.2447,-95.9961,1
2021,36.1547,-95.929,1
2021,36.1391,-95.8863,1
2021,36.1391,-95.8863,1
2021,36.070392,-95.977142,1
2021,36.1391,-95.8864,1
2021,36.1391,-95.8863,1
2021,36.065523,-95.926721,1
2021,36.0627,-95.9689,0.9
2021,36.138324,-95.967384,1
2021,36.1573,-95.7749,0.85
2021,36.2794,-95.8531,1
2021,36.1517,-95.8647,1
2021,36.235426,-95.985388,1
2021,36.1518,-95.8647,1
2021,36.0946,-95.8919,1
2021,36.0364,-95.9531,1
2021,36.0387,-95.9512,1
2021,36.0751,-95.9804,1
2021,36.0751,-95.9804,1
2021,36.127616,-95.882815,1
2021,36.132478,-95.934391,1
2021,36.037,-95.9514,1
